state,year,gdp
NY,2013,163342852.30344445
NY,2014,171660129.76622224
NY,2015,179224495.5856667
NY,2016,185931848.3658889
NY,2017,193709236.73333332
NY,2018,203941910.82066667
NY,2019,212908915.16633332
NY,2020,207644609.068
NY,2021,225802537.54877776
NY,2022,245019616.52755558
NY,2023,258236676.2862222
NY,2024,274651697.1164444
NY,2025,1090515.77125
OH,1997,45729308.718875
OH,1998,42733553.81311111
OH,1999,44385993.16433333
OH,2000,46206333.45033333
OH,2001,46741576.37466666
OH,2002,48614741.49155556
OH,2003,50296444.612111114
OH,2004,52944761.13911111
OH,2005,55655033.11977778
OH,2006,57130836.61511111
OH,2007,59072365.81777778
OH,2008,59402780.499
OH,2009,57419122.65355556
OH,2010,59233572.027777776
OH,2011,62121115.18555555
OH,2012,64183898.81488889
OH,2013,67037813.72966667
OH,2014,70794613.56966667
OH,2015,72897757.63333334
OH,2016,74301077.64988889
OH,2017,77316010.13333334
OH,2018,79629180.59077778
OH,2019,83140589.63933332
OH,2020,79865745.80477779
OH,2021,88739121.772
OH,2022,98251489.12044445
OH,2023,104462035.86188889
OH,2024,109107840.28933333
OH,2025,425314.82499999995
OK,1997,10592075.55
OK,1998,9687320.343444444
OK,1999,10019064.283444444
OK,2000,10858510.492555555
OK,2001,11516366.442555554
OK,2002,11794222.482666666
OK,2003,12524199.799555555
OK,2004,13500574.601333333
OK,2005,14852092.522222223
OK,2006,16329844.15311111
OK,2007,17284450.644666668
OK,2008,18986070.15266667
OK,2009,17394377.92977778
OK,2010,18336030.311777778
OK,2011,19711329.556111112
OK,2012,20735336.504555557
OK,2013,21733947.91722222
OK,2014,23162870.044666667
OK,2015,22104619.427888885
OK,2016,21509541.79222222
OK,2017,22709479.166666668
OK,2018,24104890.33488889
OK,2019,24330687.212555554
OK,2020,21842394.12188889
OK,2021,25247689.086
OK,2022,29174339.76088889
OK,2023,30090291.33877778
OK,2024,31052142.759222224
OK,2025,122005.7955
OR,1997,13294447.894125
OR,1998,12214805.536555555
OR,1999,12491262.201
OR,2000,13609575.692555556
OR,2001,13620846.729333334
OR,2002,14036892.585555557
OR,2003,14745253.520000001
OR,2004,15869234.321444444
OR,2005,16690181.44611111
OR,2006,17870866.953222223
OR,2007,18574359.292444445
OR,2008,19085536.862000003
OR,2009,18536380.906555552
OR,2010,19032464.770888887
OR,2011,19783693.39477778
OR,2012,20309376.885555554
OR,2013,20917802.374555554
OR,2014,21968165.102222223
OR,2015,23434871.72811111
OR,2016,24753043.380777776
OR,2017,26336038.777777776
OR,2018,27859674.665555555
OR,2019,29137626.13588889
OR,2020,28452139.292111114
OR,2021,31730708.65066667
OR,2022,34670523.203
OR,2023,36726276.03388889
OR,2024,38597424.740666665
OR,2025,152240.55975000001
PA,1997,47655453.070374995
PA,1998,44270638.44622222
PA,1999,46359780.900000006
PA,2000,48473409.86311111
PA,2001,50687244.42033333
PA,2002,52163962.917333335
PA,2003,54543219.75377778
PA,2004,57743543.09166667
PA,2005,60836141.869666666
PA,2006,63012520.57411112
PA,2007,67103178.72477778
PA,2008,69562000.16433333
PA,2009,68764994.57055555
PA,2010,71492595.45544444
PA,2011,73827340.031
PA,2012,76534760.17133334
PA,2013,79394358.66166666
PA,2014,82292972.39744444
PA,2015,84847680.43622223
PA,2016,86760376.02711111
PA,2017,89302647.25555556
PA,2018,92541083.62933333
PA,2019,95128508.43611111
PA,2020,89894459.64
PA,2021,98210017.763
PA,2022,108370811.75377777
PA,2023,114131661.32444446
PA,2024,119155560.28722222
PA,2025,468836.06175
RI,1997,3919522.6004999997
RI,1998,3699536.8128888886
RI,1999,3877853.676
RI,2000,4152470.2852222226
RI,2001,4311243.897
RI,2002,4542111.44
RI,2003,4780768.162888888
RI,2004,5116823.084
